productId,baseName,variantName,description,category,basePrice
1,BEAKER 5ML,,,Glassware,18
2,BEAKER 10ML,,,Glassware,18
3,BEAKER 25ML,,,Glassware,20
4,BEAKER 50ML,,,Glassware,24
5,BEAKER 100ML,,,Glassware,34
6,BEAKER 150ML,,,Glassware,44
7,BEAKER 250ML,,,Glassware,60
8,BEAKER 400ml,,,Glassware,84
9,BEAKER 500ML,,,Glassware,100
10,BEAKER 600ML,,,Glassware,170
11,BEAKER 1000ML,,,Glassware,230
12,BEAKER 2000ML,,,Glassware,540
13,BEAKER 3000ML,,,Glassware,940
14,BEAKER 5000ML,,,Glassware,1650
15,BOD BOTTLES 125ML,,,Glassware,160
16,BOD BOTTLES 300ML,,,Glassware,230
17,REAGENT BOTTLES WITH HOLLOW STOPPERS 30ML,,,Glassware,80
18,REAGENT BOTTLES WITH HOLLOW STOPPERS 60ML,,,Glassware,100
19,REAGENT BOTTLES WITH HOLLOW STOPPERS 125ML,,,Glassware,110
20,REAGENT BOTTLES WITH HOLLOW STOPPERS 250ML,,,Glassware,140
21,REAGENT BOTTLES WITH HOLLOW STOPPERS 500ML,,,Glassware,220
22,REAGENT BOTTLES WITH HOLLOW STOPPERS 1000ML,,,Glassware,350
23,REAGENT BOTTLES WITH HOLLOW STOPPERS 2000ML,,,Glassware,700
24,REAGENT BOTTLES WITH  SOLID STOPPERS 30ML,,,Glassware,90
25,REAGENT BOTTLES WITH  SOLID STOPPERS 60ML,,,Glassware,110
26,REAGENT BOTTLES WITH  SOLID STOPPERS 125ML,,,Glassware,130
27,REAGENT BOTTLES WITH  SOLID STOPPERS 250ML,,,Glassware,160
28,REAGENT BOTTLES WITH  SOLID STOPPERS 500ML,,,Glassware,250
29,REAGENT BOTTLES WITH  SOLID STOPPERS 1000ML,,,Glassware,400
30,REAGENT BOTTLES WITH  SOLID STOPPERS 2000ML,,,Glassware,760
31,REAGENT BOTTLES WITH SCREW CAP 30ML,,,Glassware,90
32,REAGENT BOTTLES WITH SCREW CAP 60ML,,,Glassware,100
33,REAGENT BOTTLES WITH SCREW CAP 125ML,,,Glassware,150
34,REAGENT BOTTLES WITH SCREW CAP 250ML,,,Glassware,200
35,REAGENT BOTTLES WITH SCREW CAP 500ML,,,Glassware,270
36,REAGENT BOTTLES WITH SCREW CAP 1000ML,,,Glassware,420
37,REAGENT BOTTLES WITH SCREW CAP 2000ML,,,Glassware,700
38,REAGENT BOTTLES WITH SCREW CAP 5000ML,,,Glassware,1900
39,GAS WASHING BOTTLES WITH HEAD 125ML,,,Glassware,320
40,GAS WASHING BOTTLES WITH HEAD 250ML,,,Glassware,420
41,GAS WASHING BOTTLES WITH HEAD 500ML,,,Glassware,540
42,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 10ML,,,Glassware,56
43,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 25ML,,,Glassware,64
44,RELATIVE DENSITY BOTTLE WITH GLASS STOPPER 50ML,,,Glassware,76
